1,600000
2,640941
3,600041
4,600042
5,640820
6,600031
7,600001
8,640821
9,600032
10,600002
11,640822
12,600033
13,600003
14,640823
15,600034
16,600004
17,640824
18,600035
19,600005
20,640825
21,600006
22,640826
23,600007
24,600008
25,600009
26,600010
27,600011
28,600012
29,600013
30,600014
31,600015
32,600016
33,600017
34,600018
35,600020
36,600021
37,600022
38,640943
39,640931
40,640945
41,640942
42,640946
43,640944
44,600051
45,600061
46,640801
47,600052
48,600062
49,640802
50,600053
51,600063
52,640803
53,600054
54,640804
55,600055
56,640805
57,600056
58,640806
59,600057
60,640807
61,640808
62,640809
63,640810
64,640811
65,640912
66,640913
67,640914
68,640915
69,640916
70,640917
71,640918
72,640919
73,640920
74,640921
75,640922
76,640923
77,640924
78,640925
79,640926
80,640927
81,640928
82,640929
83,640930
84,640959
85,640958
86,640951
87,640952
88,640953
89,640954
90,10000
91,28071
92,28072
93,28073
94,28074
95,28075
96,10045
97,600806
98,600807
99,600808
100,600809
